"ID_MAGASIN";"ID_FAMILLE_PRODUIT";"ID_TEMPS";"VENTES_OBJECTIF";"VENTES_REEL";"CA_OBJECTIF";"CA_REEL";"MARGE_OBJECTIF";"MARGE_REEL";"DATE_MAJ"
24;3;"201509";854;675;196;8523.6;12;76;25/03/16
4;1;"201509";927;669;4051;3064.49;84;7;25/03/16
4;2;"201509";905;306;7354;8242.48;44;6;25/03/16
4;3;"201509";583;742;7073;7123.04;81;16;25/03/16
5;1;"201509";631;238;633;6171.45;68;36;25/03/16
5;2;"201509";384;843;1751;3089.11;42;25;25/03/16
5;3;"201509";932;607;2627;7317.56;31;30;25/03/16
6;1;"201509";565;817;285;6466.5;69;26;25/03/16
6;2;"201509";510;82;2566;9108.48;13;44;25/03/16
6;3;"201509";694;892;2016;3273.62;86;59;25/03/16
13;1;"201509";985;835;1815;8033.93;49;85;25/03/16
13;2;"201509";211;388;7764;6320.43;74;23;25/03/16
13;3;"201509";805;192;4449;1765.7;27;1;25/03/16
14;1;"201509";200;755;7097;3472.21;84;24;25/03/16
14;2;"201509";476;245;3661;2284.64;31;49;25/03/16
14;3;"201509";198;702;2069;5090.63;93;15;25/03/16
26;1;"201509";678;913;7561;6927.36;80;80;25/03/16
26;2;"201509";266;67;3876;5897.5;82;39;25/03/16
26;3;"201509";532;578;7832;9799.3;11;96;25/03/16
27;1;"201509";138;641;3542;5829.23;63;49;25/03/16
27;2;"201509";95;813;1294;8344.45;66;56;25/03/16
27;3;"201509";757;744;2269;8711.21;18;96;25/03/16
28;1;"201509";87;992;368;3424.48;26;49;25/03/16
28;2;"201509";864;967;4186;6922.47;41;78;25/03/16
28;3;"201509";738;296;8653;7458.81;17;98;25/03/16
29;1;"201509";262;867;8474;1984.66;26;4;25/03/16
29;2;"201509";425;950;3769;8210.54;77;58;25/03/16
29;3;"201509";942;389;8338;8240.56;93;70;25/03/16
30;1;"201509";599;825;6526;30.25;30;71;25/03/16
30;2;"201509";329;946;6558;2484.29;39;43;25/03/16
30;3;"201509";630;890;1648;2989.04;40;58;25/03/16
31;1;"201509";5;973;4281;9204.98;2;82;25/03/16
31;2;"201509";724;124;191;5468.8;24;93;25/03/16
31;3;"201509";947;585;4227;8082.36;5;75;25/03/16
38;1;"201509";962;334;4037;2320.82;59;25;25/03/16
38;2;"201509";677;489;983;5633.02;42;53;25/03/16
38;3;"201509";224;528;9345;3798.96;70;78;25/03/16
39;1;"201509";582;474;9516;8776.3;13;18;25/03/16
39;2;"201509";390;241;9915;1808.22;23;24;25/03/16
39;3;"201509";898;341;9697;2830.08;46;37;25/03/16
40;1;"201509";451;73;5069;9270.52;62;94;25/03/16
40;2;"201509";671;49;2140;1899.41;4;72;25/03/16
40;3;"201509";853;456;8881;726.91;60;65;25/03/16
41;1;"201509";701;332;7281;9782.48;11;21;25/03/16
41;2;"201509";43;436;1300;1473.73;70;31;25/03/16
41;3;"201509";410;484;6292;1713.31;19;67;25/03/16
42;1;"201509";747;376;7508;959.94;96;26;25/03/16
42;2;"201509";845;163;2593;8858.16;91;56;25/03/16
42;3;"201509";829;683;9194;5214.13;70;36;25/03/16
43;1;"201509";270;141;1965;137.2;34;78;25/03/16
43;2;"201509";631;212;3662;6286.78;64;27;25/03/16
43;3;"201509";527;246;4208;6109.17;36;83;25/03/16
35;3;"201509";843;920;6714;9732.61;1;28;25/03/16
36;1;"201509";442;202;5946;2162.47;60;37;25/03/16
36;2;"201509";505;234;8931;4533.51;45;24;25/03/16
36;3;"201509";90;928;6018;761.49;21;81;25/03/16
37;1;"201509";111;22;8787;7070.82;55;75;25/03/16
37;2;"201509";898;632;1858;5711.34;45;68;25/03/16
37;3;"201509";756;932;2073;1869.36;40;73;25/03/16
19;1;"201509";235;432;3997;4779.84;56;25;25/03/16
19;2;"201509";325;279;9788;3718.01;56;10;25/03/16
19;3;"201509";397;871;6132;7499.66;18;48;25/03/16
45;1;"201509";621;614;9763;3016.59;94;68;25/03/16
45;2;"201509";638;472;668;5338.8;73;8;25/03/16
45;3;"201509";580;807;7784;9392.07;24;61;25/03/16
46;1;"201509";774;846;7480;7253.41;84;31;25/03/16
46;2;"201509";887;653;1726;6866.12;70;64;25/03/16
46;3;"201509";567;768;7802;8921.51;67;76;25/03/16
47;1;"201509";620;724;1937;8458.19;100;29;25/03/16
47;2;"201509";853;581;1340;5004.65;9;50;25/03/16
47;3;"201509";745;198;3620;1854.76;20;27;25/03/16
48;1;"201509";573;770;2297;9453.76;93;54;25/03/16
48;2;"201509";774;638;3917;7739.3;91;89;25/03/16
48;3;"201509";225;371;4771;7219.53;67;59;25/03/16
32;1;"201509";224;224;4089;2727.94;2;68;25/03/16
32;2;"201509";128;586;9728;9432.56;97;42;25/03/16
32;3;"201509";769;926;8461;4475.04;64;90;25/03/16
33;1;"201509";400;931;657;2726.37;22;40;25/03/16
33;2;"201509";431;343;2631;6781.63;1;43;25/03/16
33;3;"201509";513;835;6400;4162.46;81;27;25/03/16
34;1;"201509";887;310;6171;2554.47;95;7;25/03/16
34;2;"201509";780;388;9938;1744.15;87;43;25/03/16
34;3;"201509";407;727;9786;8459.59;11;51;25/03/16
35;1;"201509";87;923;3977;2123.78;26;70;25/03/16
35;2;"201509";533;536;2488;6547.57;7;37;25/03/16
44;1;"201509";730;330;7535;7032.67;3;84;25/03/16
44;2;"201509";18;718;8228;5314.9;35;87;25/03/16
44;3;"201509";199;615;7132;2443.07;25;97;25/03/16
15;2;"201508";686;896;7172;3750.27;52;57;25/03/16
15;3;"201508";286;919;5146;4427.68;91;66;25/03/16
16;1;"201508";978;904;6567;371.59;70;34;25/03/16
16;2;"201508";29;217;5260;7771.64;13;82;25/03/16
16;3;"201508";44;231;2860;9396.9;69;64;25/03/16
17;1;"201508";137;479;2820;6968.25;1;24;25/03/16
17;2;"201508";484;269;9874;5741.02;36;39;25/03/16
17;3;"201508";818;337;7291;8856.54;99;77;25/03/16
18;1;"201508";177;688;125;3252.28;28;98;25/03/16
18;2;"201508";367;740;5371;2935.53;75;71;25/03/16
18;3;"201508";413;457;8326;3886.39;52;93;25/03/16
7;1;"201508";214;673;2304;5873.93;60;38;25/03/16
7;2;"201508";92;51;8151;7474.22;46;88;25/03/16
7;3;"201508";506;31;5405;3012.67;62;9;25/03/16
8;1;"201508";218;175;1642;7661.69;62;31;25/03/16
8;2;"201508";38;598;8334;9147.97;19;67;25/03/16
8;3;"201508";125;812;4408;1102.48;59;35;25/03/16
9;1;"201508";247;163;1761;4232.14;76;11;25/03/16
9;2;"201508";658;339;772;9010.05;15;63;25/03/16
9;3;"201508";326;471;9673;3051.76;47;29;25/03/16
10;1;"201508";737;472;5347;3869.23;28;57;25/03/16
10;2;"201508";705;570;2731;9491.17;42;11;25/03/16
10;3;"201508";383;381;2462;4826.06;0;23;25/03/16
11;1;"201508";246;963;4409;2856.89;85;65;25/03/16
11;2;"201508";516;733;6081;6994.67;73;71;25/03/16
11;3;"201508";299;430;6781;9067.72;98;12;25/03/16
12;1;"201508";532;24;3583;1862.04;91;64;25/03/16
12;2;"201508";64;365;2013;2229.05;4;19;25/03/16
12;3;"201508";821;476;5727;8811.45;85;18;25/03/16
25;1;"201508";49;936;4351;7824.7;89;60;25/03/16
25;2;"201508";129;170;898;1449.5;84;61;25/03/16
25;3;"201508";86;39;2217;4058.19;38;11;25/03/16
32;1;"201508";344;129;9820;905.64;64;75;25/03/16
1;1;"201508";880;556;2141;808.84;15;50;25/03/16
1;2;"201508";113;165;4019;9535.57;51;96;25/03/16
1;3;"201508";808;867;2890;2953.48;61;69;25/03/16
2;1;"201508";41;230;4236;9219.75;30;7;25/03/16
2;2;"201508";329;532;6677;5749.08;65;32;25/03/16
2;3;"201508";497;723;8537;2965.17;95;98;25/03/16
3;1;"201508";205;921;7655;8337.7;7;96;25/03/16
3;2;"201508";208;984;6300;9296.99;18;68;25/03/16
3;3;"201508";57;146;7040;4003.47;0;48;25/03/16
20;1;"201508";885;425;2950;8258.91;94;14;25/03/16
20;2;"201508";911;677;4601;8271.56;16;80;25/03/16
20;3;"201508";104;792;7778;6535.58;9;95;25/03/16
21;1;"201508";198;220;6955;2796.21;70;76;25/03/16
21;2;"201508";756;923;2384;9326.88;73;38;25/03/16
21;3;"201508";581;709;3426;8716.94;3;75;25/03/16
22;1;"201508";64;851;7838;2177.7;79;12;25/03/16
22;2;"201508";66;51;1476;1705.26;76;20;25/03/16
22;3;"201508";998;694;6408;8155.69;55;84;25/03/16
23;1;"201508";513;843;532;8898.38;62;16;25/03/16
23;2;"201508";732;240;7241;4907.52;81;66;25/03/16
23;3;"201508";361;309;6006;6301.93;17;3;25/03/16
24;1;"201508";398;403;7145;4422.94;97;89;25/03/16
24;2;"201508";586;914;5599;7566.36;34;38;25/03/16
24;3;"201508";581;891;5046;7596.33;65;41;25/03/16
4;1;"201508";3;606;1830;3742.26;25;74;25/03/16
4;2;"201508";235;204;745;2587.29;32;60;25/03/16
4;3;"201508";514;3;5628;4225.54;58;87;25/03/16
5;1;"201508";892;436;6271;8484.06;5;48;25/03/16
5;2;"201508";309;336;3260;3736.76;34;15;25/03/16
5;3;"201508";275;439;7984;189.7;74;18;25/03/16
6;1;"201508";704;795;8608;5328.6;49;30;25/03/16
6;2;"201508";139;681;8042;2323.55;88;65;25/03/16
6;3;"201508";80;66;455;1633.73;18;82;25/03/16
13;1;"201508";568;309;5946;5781.59;19;21;25/03/16
13;2;"201508";6;808;2210;9071.05;59;32;25/03/16
13;3;"201508";394;960;9774;6107.41;54;89;25/03/16
14;1;"201508";770;70;6506;3195.86;51;39;25/03/16
14;2;"201508";358;989;7101;227.63;62;11;25/03/16
14;3;"201508";402;68;253;8163.18;0;43;25/03/16
15;1;"201508";43;983;5734;4447.11;81;56;25/03/16
26;1;"201508";424;188;7311;729.4;64;47;25/03/16
26;2;"201508";342;114;3041;9374.45;36;19;25/03/16
26;3;"201508";212;617;3241;1727.92;11;67;25/03/16
27;1;"201508";591;536;2805;5515.45;92;56;25/03/16
27;2;"201508";395;723;6634;3573.04;66;31;25/03/16
27;3;"201508";102;907;4452;3604.34;18;96;25/03/16
28;1;"201508";561;273;6303;7584.38;67;1;25/03/16
28;2;"201508";216;532;5309;3766.07;22;27;25/03/16
28;3;"201508";944;113;1778;1054.71;28;76;25/03/16
29;1;"201508";288;609;4264;7470.12;34;32;25/03/16
29;2;"201508";414;838;9753;2564.42;37;31;25/03/16
29;3;"201508";749;946;2997;5376.27;43;92;25/03/16
30;1;"201508";890;78;5271;3298.14;55;81;25/03/16
30;2;"201508";471;436;5030;473.2;55;90;25/03/16
30;3;"201508";884;967;1859;9226.92;45;29;25/03/16
31;1;"201508";314;573;4557;8757.49;46;96;25/03/16
31;2;"201508";487;804;5308;8720.7;20;89;25/03/16
31;3;"201508";906;723;671;3083.94;76;58;25/03/16
38;1;"201508";907;464;6443;3887.54;58;20;25/03/16
38;2;"201508";497;559;7670;7601.86;56;81;25/03/16
38;3;"201508";768;594;7823;9032.82;24;100;25/03/16
39;1;"201508";545;324;4435;1266.8;82;11;25/03/16
39;2;"201508";202;359;7340;4899.09;40;93;25/03/16
39;3;"201508";492;110;792;4709.21;19;30;25/03/16
40;1;"201508";862;673;9266;7018.15;98;84;25/03/16
40;2;"201508";923;655;7462;5481.9;54;61;25/03/16
40;3;"201508";352;276;5325;1912.25;49;56;25/03/16
41;1;"201508";904;785;8935;5340.77;33;28;25/03/16
41;2;"201508";525;582;3011;2944.82;85;71;25/03/16
41;3;"201508";660;861;7874;1450.75;3;85;25/03/16
42;1;"201508";638;42;9350;1879.08;66;59;25/03/16
42;2;"201508";422;355;5721;5067.84;1;27;25/03/16
42;3;"201508";632;64;3664;7374.67;89;12;25/03/16
43;1;"201508";733;62;2862;890.54;80;23;25/03/16
43;2;"201508";449;145;4527;9966.91;81;22;25/03/16
43;3;"201508";266;116;9908;153.5;4;48;25/03/16
36;1;"201508";605;173;8744;7290.1;79;93;25/03/16
36;2;"201508";448;370;2372;9628.68;70;82;25/03/16
36;3;"201508";234;508;8773;9766.22;18;30;25/03/16
37;1;"201508";253;602;7764;9452.11;28;97;25/03/16
37;2;"201508";949;365;9361;8.15;75;41;25/03/16
37;3;"201508";978;74;8285;366.75;4;51;25/03/16
19;1;"201508";571;554;2046;4262.65;81;3;25/03/16
19;2;"201508";819;896;2876;3759.35;60;35;25/03/16
19;3;"201508";352;585;1588;2065.99;76;4;25/03/16
45;1;"201508";521;749;4462;6741.07;11;3;25/03/16
45;2;"201508";464;684;6132;5102.44;21;62;25/03/16
45;3;"201508";528;860;2083;1605.37;21;95;25/03/16
46;1;"201508";401;693;741;9551.72;12;54;25/03/16
46;2;"201508";38;3;8058;4921.93;33;65;25/03/16
46;3;"201508";926;300;5951;7657.73;99;64;25/03/16
47;1;"201508";294;33;1451;9514.69;18;38;25/03/16
47;2;"201508";705;385;5350;7619.6;38;25;25/03/16
47;3;"201508";790;362;6314;961.34;80;21;25/03/16
48;1;"201508";805;384;6571;6487.27;66;80;25/03/16
48;2;"201508";991;323;5698;7290.67;96;31;25/03/16
48;3;"201508";443;418;1970;5671;86;73;25/03/16
32;2;"201508";700;143;1846;634.54;25;89;25/03/16
32;3;"201508";123;595;6464;3450.3;10;2;25/03/16
33;1;"201508";336;479;4856;762.19;80;36;25/03/16
33;2;"201508";866;606;6673;947.42;16;20;25/03/16
33;3;"201508";793;887;4273;6095.37;91;78;25/03/16
34;1;"201508";430;42;9496;1104.58;66;59;25/03/16
34;2;"201508";448;147;7670;7196.27;41;31;25/03/16
34;3;"201508";201;815;5592;3843.55;21;65;25/03/16
35;1;"201508";628;447;5670;2013.9;54;54;25/03/16
35;2;"201508";132;421;3135;9466.93;55;11;25/03/16
35;3;"201508";571;685;6014;6283.23;19;49;25/03/16
44;1;"201508";536;400;2847;3396.22;42;76;25/03/16
44;2;"201508";339;707;1161;7716.01;80;14;25/03/16
44;3;"201508";416;439;9796;6265.87;39;11;25/03/16
16;1;"201507";934;150;8973;2478.5;57;24;25/03/16
16;2;"201507";897;242;8570;1315.12;17;11;25/03/16
16;3;"201507";16;248;6542;6208.77;77;43;25/03/16
17;1;"201507";157;425;7113;6865.22;21;28;25/03/16
17;2;"201507";845;446;6963;6841.07;44;37;25/03/16
17;3;"201507";680;576;5758;14.42;89;61;25/03/16
18;1;"201507";466;298;1941;4701.25;52;40;25/03/16
18;2;"201507";750;135;5027;4572.87;37;58;25/03/16
18;3;"201507";223;230;1784;2091.9;47;8;25/03/16
7;1;"201507";722;130;3200;4413.6;3;48;25/03/16
7;2;"201507";863;652;6016;5776.82;70;58;25/03/16
7;3;"201507";883;276;7602;8997.79;62;27;25/03/16
8;1;"201507";711;573;3027;2885.13;13;65;25/03/16
8;2;"201507";435;252;1649;3738.4;10;53;25/03/16
8;3;"201507";673;62;3973;5541.8;3;25;25/03/16
9;1;"201507";364;537;8527;4107.27;30;82;25/03/16
9;2;"201507";362;661;6545;6174.31;50;64;25/03/16
9;3;"201507";426;637;6778;8411.24;17;45;25/03/16
10;1;"201507";259;58;1419;4823.31;66;61;25/03/16
10;2;"201507";945;34;1907;6898.79;36;58;25/03/16
10;3;"201507";573;711;1220;1366.98;87;7;25/03/16
11;1;"201507";138;547;9808;3880.26;83;38;25/03/16
11;2;"201507";659;717;5688;5021.31;42;3;25/03/16
11;3;"201507";701;531;8435;7555.54;46;75;25/03/16
15;1;"201512";785;119;7340;5811.8;37;25;25/03/16
15;2;"201512";1;486;8485;8118.85;61;79;25/03/16
15;3;"201512";887;837;9819;5697.38;75;15;25/03/16
16;1;"201512";507;1;4391;8744.96;69;75;25/03/16
16;2;"201512";807;306;4341;1898.91;51;0;25/03/16
16;3;"201512";595;659;8125;5938.35;54;49;25/03/16
17;1;"201512";876;466;5768;3887.44;42;57;25/03/16
17;2;"201512";108;226;3454;1972.05;18;45;25/03/16
17;3;"201512";803;250;1786;5037.38;89;82;25/03/16
18;1;"201512";106;533;9580;981.59;43;91;25/03/16
18;2;"201512";289;592;5454;8297.33;74;41;25/03/16
18;3;"201512";676;997;540;2897.68;59;50;25/03/16
6;2;"201512";322;75;9584;7699.07;2;11;25/03/16
6;3;"201512";666;150;9490;4368.21;31;17;25/03/16
7;1;"201512";34;671;7176;6593.06;77;65;25/03/16
